snp_idx,beta,pvalue
0,0.025488528805636738,0.4202324402343054
50,-0.02433027888536818,0.44166124530880424
100,-0.00712710997218192,0.8216844419534484
150,0.03022888234367905,0.3391120508000596
200,-0.10303529452407739,0.0011209682065720372
250,-0.04627430466676312,0.14337929091922996
300,0.025953316660458584,0.41180809207252755
350,-0.024207849763397578,0.4439623039042919
400,-0.005233631715963771,0.8685489020798198
450,0.0037009903124197046,0.9068318506419255
500,-0.0159901886425717,0.6130994513343921
550,-0.062286138714403874,0.04887727565026134
600,0.015968074870858964,0.6135905379479962
650,0.029801793925494802,0.3459799691417538
700,0.06746895281675436,0.03287917392172757
750,0.011166386826646262,0.7240043599483723
800,0.013833337089727555,0.6617860967066902
850,0.002528934973948185,0.9362595685583031
900,-0.013945177993575373,0.6592236764881227
950,-0.13160362951671387,3.1592566534177635e-05
1000,0.02658783046057774,0.40047062026525015
1050,0.027072072382967514,0.39194573345701
1100,-0.020326701074002754,0.5203624967242226
1150,0.02777200274317741,0.3798200874130331
1200,-0.00448469915599656,0.8872232606613604
1250,0.02135861425266213,0.4994097962738959
1300,-0.012277406913211069,0.697834219594448
1350,-0.007651181324814112,0.8088176683818502
1400,0.02571396229733967,0.41613384794882124
1450,0.017107658714624503,0.5885133244879044
1500,0.007359152139252404,0.8159813041334887
1550,0.00937735582226573,0.7668192297876453
1600,0.04770856443456127,0.13138127565567048
1650,-0.011809325698531513,0.7088182636940501
1700,-0.026515651657706564,0.40175077362228917
1750,-0.04604544400799939,0.14536918182790015
1800,0.039623963627040446,0.21019851923752242
1850,-0.02224479735857596,0.4817801797243333
1900,0.018269948180981696,0.5634352869290891
1950,-0.007041136336970566,0.8237999161565048
2000,0.013260730642570063,0.6749668468441381
2050,-0.02445956642638006,0.43923871270339454
2100,0.017237134688820016,0.5856943300259605
2150,0.063859937175768,0.0434426990157617
2200,-0.04603423154824139,0.1454672123225087
2250,0.0048447551888494405,0.8782369215283481
2300,-0.007358836591445759,0.8159890531335132
2350,-0.04388105350611197,0.16524646566353907
2400,-0.20317273597292038,1.3196843617890863e-10
2450,-0.014486106038866147,0.6468871399723763
2500,-0.03663014481507065,0.24672250480740754
2550,0.021749587145901705,0.4915898616059804
2600,0.011742930616836882,0.7103812764855375
2650,0.06374800338347113,0.04381159773568144
2700,0.002392472210492104,0.9396922938376298
2750,0.0561036293647428,0.07603792245604657
2800,-0.016910917743244443,0.592808789922187
2850,-0.013513506888974543,0.6691356279917888
2900,-0.009496505352742697,0.7639438582324365
2950,-0.051919023015268406,0.10062655295304412
3000,-0.01751085575081357,0.5797555095571632
3050,-0.040656403655515504,0.19855882445733197
3100,-0.1462943827903966,3.723735217953106e-06
3150,0.008023366545031569,0.7997110103900067
3200,0.00018302734497151714,0.9953820033179002
3250,0.05739861680338609,0.0695079844751898
3300,0.003979364051857881,0.8998597334006204
3350,-0.06878042342859733,0.029628020854158832
3400,-0.005150458167434126,0.8706193840851844
3450,0.05815689472700484,0.06590305406611052
3500,0.025441932156924363,0.42108255885696244
3550,0.12014207400776662,0.00014514870634840804
3600,0.016281127743630674,0.6066547220139704
3650,-0.008990679412359358,0.7761726344006672
3700,0.010098543118264228,0.7494656912151838
3750,0.00184993942257561,0.953350186396184
3800,0.029028104064936534,0.3586454358193838
3850,-0.05697708727293553,0.07158101683237805
3900,0.03670708275037643,0.24573142821900085
3950,0.011175767439408334,0.7237819916767094
4000,0.008703453995734092,0.7831415517045726
4050,0.019307338088288436,0.5414964470977737
4100,-0.009519108833994636,0.7633987463831082
4150,0.013331632514427125,0.6733292440727556
4200,0.038819105776210776,0.21960921438415282
4250,-0.21905898942988625,4.290789945571305e-12
4300,-0.012196399928720743,0.6997306914691854
4350,-0.016904764737215215,0.5929433605917964
4400,0.19701618097647636,4.658440300175926e-10
4450,-0.007510573995990911,0.8122648827719721
4500,-0.08616945862992662,0.006431754824812064
4550,0.15092559787567925,1.8178467271479093e-06
4600,0.0045112195435673234,0.8865608509800489
4650,0.04287307258072811,0.17517376083546443
4700,0.0418829485344526,0.18535193724788024
4750,0.027011525201621728,0.39300558033600863
4800,0.02327687103904928,0.4616824437526188
4850,0.021853321969307463,0.48952612767443293
4900,-0.010339566928837574,0.7436937409460027
4950,0.0251133475836094,0.42710591198795056
