snp_idx,ae_contrib
0,0.10121389214443051
50,0.09011088852713915
100,0.0690514195822285
150,0.06860814789405088
200,0.14539866155337375
250,0.07794113974255296
350,0.14137656414295863
400,0.08489770823294052
550,0.06824214010657265
600,0.07576391362938384
700,0.0688640497499828
750,0.12332127530202475
800,0.08637438184150986
850,0.06912719815079114
900,0.06852984381368926
950,0.1745116538127969
1000,0.07025940201563483
1050,0.07892765900593304
1100,0.06805773395696363
1150,0.06800081160806815
1200,0.07420816319326196
1250,0.07727878531110219
1300,0.06759680366451894
1400,0.06825001474481301
1450,0.09521588173007087
1500,0.06751405027636956
1600,0.09463881147616754
1700,0.07498320812072283
1750,0.06826082857416381
1800,0.08367434085883367
1850,0.10568576350095188
2000,0.07985210537492066
2100,0.07677018035600928
2150,0.08294638100806376
2200,0.07007538248327425
2250,0.07510663589322666
2350,0.12644704491990258
2400,0.18930678032608464
2450,0.0840505428180901
2500,0.08177776305520433
2550,0.06722337887328003
2600,0.06892811220058766
2650,0.10997877158752167
2750,0.08242133640359792
2800,0.08321765451601788
2850,0.07355992230612574
2900,0.08079553588782293
2950,0.06827714612448002
3000,0.07686019340049816
3050,0.09022254905314984
3100,0.17679787102571506
3200,0.06975284132756675
3250,0.12046447852188982
3300,0.06738523940338732
3350,0.07798893412290547
3400,0.1020731591353901
3550,0.08930244017175626
3700,0.06868071871636053
3750,0.0677081102211963
3800,0.1467754774314629
3850,0.1198140184419704
3900,0.07322440455911425
4100,0.06866881732214956
4150,0.07995407661005148
4250,0.2459406360712626
4300,0.08340805456435242
4400,0.2813368896878625
4450,0.07723609532633134
4500,0.09453833450345299
4550,0.15826582974057996
4600,0.10965376776647963
4650,0.06762203943276184
4700,0.07874537106113645
4800,0.07477625642699852
4850,0.06942493892166789
